tiempo,rank
3.9508e-05,6
3.7917e-05,4
3.7926e-05,6
3.7526e-05,4
3.8037e-05,6
3.9162e-05,6
4.0752e-05,4
3.9143e-05,6
3.7874e-05,4
3.8663e-05,6
