tiempo,rank
3.8512e-05,6
3.7624e-05,6
3.8965e-05,6
3.8341e-05,6
3.7535e-05,4
3.8803e-05,6
3.8901e-05,6
3.7732e-05,4
3.8468e-05,6
3.7421e-05,6
3.8833e-05,6
3.7297e-05,4
3.8666e-05,6
3.7591e-05,6
3.8582e-05,6
3.8679e-05,6
3.7569e-05,6
3.8857e-05,6
3.7643e-05,4
3.8569e-05,6
3.7834e-05,6
3.8879e-05,6
3.7935e-05,2
3.8659e-05,6
3.7706e-05,4
3.8943e-05,6
3.8816e-05,6
3.8506e-05,6
3.7479e-05,4
3.8565e-05,6
3.7727e-05,6
3.9005e-05,6
3.7963e-05,4
3.8538e-05,6
3.7627e-05,6
3.9e-05,6
3.8068e-05,4
3.8921e-05,6
3.765e-05,4
3.8935e-05,6
3.7872e-05,4
3.8529e-05,6
3.759e-05,4
3.9093e-05,6
4.0611e-05,4
3.9018e-05,6
3.8685e-05,4
3.7761e-05,6
5.1225e-05,6
3.8129e-05,6
3.8731e-05,6
3.7406e-05,4
3.7395e-05,6
3.7408e-05,4
3.8686e-05,6
3.7624e-05,4
3.9189e-05,6
3.7224e-05,4
3.8638e-05,6
3.7813e-05,6
3.8619e-05,6
3.7976e-05,4
3.7542e-05,6
4.0448e-05,4
3.9218e-05,6
3.7477e-05,6
3.8542e-05,6
3.7602e-05,4
3.8903e-05,6
3.735e-05,4
3.8843e-05,6
3.7564e-05,6
3.7181e-05,4
3.8677e-05,6
3.7379e-05,4
3.896e-05,6
3.7693e-05,4
3.8637e-05,6
3.7457e-05,6
3.777e-05,4
3.7885e-05,6
3.7722e-05,6
3.8691e-05,6
3.8661e-05,6
3.7533e-05,2
3.9194e-05,6
3.7675e-05,4
3.8924e-05,6
3.7442e-05,6
3.8798e-05,6
3.7536e-05,4
3.737e-05,6
3.9196e-05,6
3.7937e-05,4
3.8947e-05,6
3.9474e-05,6
3.9457e-05,6
3.8652e-05,6
3.9411e-05,6
3.7698e-05,4
3.8918e-05,6
3.8251e-05,6
3.8727e-05,6
3.7844e-05,4
3.8655e-05,6
3.8783e-05,6
3.7395e-05,6
3.772e-05,6
3.864e-05,6
3.765e-05,4
3.887e-05,6
3.8508e-05,6
3.867e-05,6
3.9109e-05,6
3.763e-05,4
3.9313e-05,6
3.8885e-05,6
3.7743e-05,4
3.8816e-05,6
3.7548e-05,4
3.9079e-05,6
3.906e-05,6
3.7563e-05,4
3.8611e-05,6
3.7397e-05,4
3.8559e-05,6
3.8793e-05,6
3.7342e-05,4
3.886e-05,6
3.7701e-05,6
3.8728e-05,6
3.7591e-05,4
3.9135e-05,6
3.8306e-05,6
3.757e-05,4
3.8554e-05,6
3.7414e-05,4
3.8522e-05,6
3.861e-05,6
3.7613e-05,4
